Line,Group,GEBV_Brix,GEBV_Axis_length,GEBV_Immature_fruit_external_color_L,GEBV_External_immature_fruit_color_green,GEBV_Fruit_external_color_a,GEBV_Fruit_fasciation,GEBV_Fruit_maximum_length,GEBV_Fruit_maximum_width,GEBV_Fruit_pungency,GEBV_Fruit_shape_index,GEBV_Fruit_weight,GEBV_Locule_number,GEBV_Total_plant_height,GEBV_Pericarp_thickness,GEBV_Total_fruit_weight,GEBV_Total_fruit_number
GPC060460,Core,-0.24210021196085801,7.05124582537556,-5.25039937138356,0.3663512864158,-5.96948186801678,-0.220804191958239,3.80121010408166,1.07590076962916,-0.00564038776403576,0.112947682310562,24.1853380432965,-0.232468241748586,37.6940869104042,0.706682807455717,-104.889722270009,-22.3827393780739
GPC060540,Core,-2.1182540569992,-6.7735404928304,-8.51206604069343,0.261456181648562,-7.8216604436504,0.942657345577221,-0.461308629295392,5.52447648094573,-1.00564038723162,-3.6689713571603,140.385083100274,1.31001541717261,-22.5942419990331,3.62268280700377,568.125277296515,-34.5144060610509
GPC061390,Core,-0.390282028897543,14.2684175300656,-6.60539936258288,0.184533104244202,-1.38716043763297,-0.484693080880689,2.06503619521474,-0.0293166226161651,-0.00564038723036836,1.77233898813634,11.0221727920626,0.0322376395503363,22.1556253311999,0.445864623540628,-66.2230558109969,-3.66940602335284
GPC061940,Core,-0.626645665282011,2.99569026935526,-3.58539936614246,0.275442195261857,-0.808097940641441,-0.462470859034296,-2.56296380185825,-0.369316622059085,-0.00564038726326513,-0.225661011788949,3.95017279994656,-0.324905216966993,4.23589291758712,-0.133680829321584,-92.7647225383471,28.8722606180773
GPC062700,Core,1.45866901599055,0.918767190143979,-5.97039936758899,0.415302335216902,-8.12895963900433,-0.595804191571339,-6.31303276083718,0.88568337920077,-0.00564038777667091,-3.94823243871682,8.78335904905363,-0.0329797510915275,9.0633176540577,1.30575973029423,-159.806388908496,-16.5094060713372
GPC063310,Core,-1.02924306726646,9.22296299240415,-5.1987326937533,0.255961675290179,1.36833955919909,-0.595804191950415,-5.13496379641014,-0.701316622290673,-0.00564038723435977,-1.17806100872703,1.89777279072255,-0.257236044282058,30.4171638205768,-0.529589920283237,-202.208055696612,102.385593831679
GPC064390,Core,-1.04710021151114,-1.09521881873954,-0.570399373253324,0.89881881748618,-0.854434755944083,-0.595804191385297,-6.48429712404775,0.706979675191233,-0.00564038809110729,-3.95336471285467,7.09169876552815,0.436999544390301,18.678702222982,1.71976613947,-38.7363889647574,10.7322605742216
GPC067430,Core,2.56123311497232,2.03415180664798,-5.45373270006899,0.338379258554927,-1.15799377194901,0.0965034994859898,-1.5233775940654,0.0796488954026286,-0.105640387298763,-0.691729977817908,7.31680729332951,-0.0559976541191171,-1.37899002559531,-7.7873070564445e-4,-108.473055683536,-7.92773937724159
GPC068750,Core,1.13901089805585,17.8290235878154,1.40293395129115,0.0845331048412192,0.87575622735196,-0.141258737514257,-2.47001141886974,0.24877861555131,-0.00564038738066044,-0.487756248572019,4.76101090252445,-0.467762360006036,27.3710099387037,-0.313428303746586,-136.376389157026,7.3789272875214
GPC074430,Core,-1.25067164018971,-9.04277125973668,-8.81373269933816,0.261456181684844,-0.1834104493665,0.216695807946698,-1.13027414353552,1.44516613808247,-0.672307054280135,-2.38690239077802,21.2230142155279,0.314846335908518,18.0248561251659,1.26037511538667,-2.47305557682125,-22.8410727225812
GPC084560,Core,-0.795177134644297,4.04330931542682,-0.74373270306947,0.0416759615330413,-2.41424377324502,0.154195807804041,3.14903619074547,-0.0824200663885563,-0.505640387140095,2.74033898117464,9.8747384062286,-0.173644712360359,18.8762407137657,-0.0753941139173261,52.4169443417625,18.6522606053087
GPC093280,Core,-0.694322433654385,8.32902359256844,2.43460062023205,-0.123159202905623,0.672006226716018,0.0708624745359452,-1.35572570811334,-0.0702690022840237,-0.00564038754109258,-0.234422917166014,5.44672520546524,-0.35665124908491,28.4710099167845,-0.226761636369332,-26.708055847631,15.4572606188576
GPC093310,Core,-0.0578144979870435,-2.73158245308428,3.45126729402299,0.0936240134385378,-1.92841043989058,0.515306918005799,-0.100963804641125,-0.0768166210727837,-0.00564038748333916,0.64908898607994,6.58243948973877,-0.390839282871384,22.3979330275607,-0.224317192418857,-33.2097224928981,5.70726063592362
GPC096810,Core,0.13559209546445,3.84184411861253,-6.57373270391338,0.53068695052193,-2.90198187393009,0.32727273059386,-4.82544655594196,1.68999372315077,-0.905640386828042,-3.67931618231201,15.1688762744156,0.358324596867348,9.36716382366558,1.90652896022904,20.7502775549603,-20.051072722897
GPC106660,Core,-0.217554756819867,-3.0569413015476,3.22793395354027,-0.377966895106708,-7.85174376441901,1.0291958067179,-1.59096379653268,1.09988337771266,-0.00564038763879702,-2.14806100817361,16.1397728186832,0.817951924956177,6.1307169335001,-0.176862647403547,64.3469442249094,-12.7760727117572
GPC106680,Core,-0.914957353332337,13.149536405786,-10.2770660295402,0.415302335107517,-0.207410444714942,0.250349653488872,4.17662240480283,-0.554833861679821,-0.159486541225725,6.73102863980156,6.51362996177176,-0.173644712931392,2.45562536503299,-0.149624884733457,-122.708055581762,6.29559392916067
GPC107210,Core,0.161233120848582,12.9368667271688,-2.03373269433741,-0.0154668957881473,3.06325622556696,-0.167232763349208,-3.69096380172984,-0.762649954208025,-0.00564038721772563,0.941672319640995,2.43243947969496,-0.356651248905515,23.344240725626,-0.709817192576481,-167.403055690278,166.220593759113
GPC113230,Core,-0.21056174953142,3.49569026331244,-5.41206603863935,0.646071565868187,1.37308955457141,-0.288111883856495,-0.19024951380434,0.0796488954780365,-0.00564038744103465,-0.0518038692174637,8.62784177602103,0.0877931956166559,16.7133176108768,0.0446058842067162,27.2086108089628,-2.54107272107427
GPC114810,Core,-0.141330981335239,-0.764309730022346,-8.20039936194211,0.267866437203959,-2.60485875457025,0.216695807490735,3.98117905748599,0.996397664592646,-0.7329131140746,-0.0421610125072081,26.8743442486408,-0.0132169052245275,2.87870227847033,0.692482807724039,13.7636109435608,-26.4727393900472
GPC117250,Core,-0.0471002117162941,17.4956902576068,-8.6053993679395,0.251199771675939,-0.346847940741333,-0.095804192400055,2.78503619514399,-0.760116620784924,-0.00564038744022728,7.56113897950128,4.01377281460557,-0.204604465188007,30.9863945302213,-0.485499010332376,-114.348055691974,19.3322605912475
GPC118010,Core,-0.510561749178068,1.34184411952703,-7.68539936925145,0.261456181647243,-7.27016043751729,0.558041961265261,7.79041549947432,1.56585579165961,-0.551094931964537,0.246545883083401,44.7243934727674,-0.301095692739462,-16.0674515328923,1.44114434420087,133.346944154475,-31.8677393701412
GPC120620,Core,-0.033638673528637,-5.12430972183898,-10.7903993639405,0.646071566076992,-2.70241044288012,0.788811191855923,2.23869136711266,1.46585579147647,-0.00564038768592313,-1.35690239024106,24.7126693558909,0.271368074533284,23.9479330152616,0.696144345079934,295.000277172452,-12.0294060676252
GPC120980,Core,-1.11755475577498,-1.1861278989245,-3.98039936717607,0.317866437211344,1.77877705454808,-0.0958041920859877,-3.43496379880123,-0.641316620031372,-0.00564038753082224,0.0863389872469553,2.7009728335285,-0.467762359822664,6.11331768045482,-0.287771737211516,-154.458055565199,53.7822605443459
GPC121120,Core,-1.93460020932168,6.22645950393736,-12.4720660312496,0.646071566085881,0.18483955799497,0.173426576420674,3.995464762561,-0.221459478233486,-0.00564038746111669,4.01141041294016,14.3347013774485,-0.291291772005724,18.924856144355,0.312482806815499,117.430277319822,0.353927286722686
GPC121710,Core,-0.99517713343414,-7.47799393554046,3.01793395693661,0.107610027254824,-26.5801961237093,-0.00756889853919,-0.168355107033104,0.0280746823620387,-0.255640387277186,0.128599856682871,8.67751193881121,0.198904306531006,3.17774072613448,-0.179817192515624,-57.8063892235378,-0.176072703452198
GPC123680,Core,-0.618254057439767,-9.27354048467134,-11.508732691472,0.530686950175272,-3.30298606874989,0.0916958076773278,6.06972585256275,0.986545446734984,-0.20564038727828,0.717925194839461,29.1740486636729,0.0104985099710779,-33.9982207455711,0.883932806464415,235.611944009469,-20.6060727084506
GPC123750,Core,-1.61376687828365,-0.850463576273185,-6.66873270138512,0.184533104583157,-24.3136882042447,0.634965038734621,9.80459174879565,3.43290560024643,-1.00564038715268,-1.22040175495844,93.0509579801164,0.407237640006226,15.5479330316221,2.45809947387287,513.471943923773,-31.3044060639341
GPC124980,Core,0.777899787140208,25.5726133292419,-4.09706604603542,0.1845331048659,0.817006227939062,-0.283304192150397,-0.685579185480629,-0.67008585198587,-0.0056403874004436,3.51380052297387,3.31537281361274,-0.405262359927537,54.5325484003342,-0.423983859456583,-254.598055495775,0.970593947196735
GPC125920,Core,1.13559209541261,15.3114797317614,-4.15539936823543,0.255961675376097,-0.903660438594231,-0.429137525130534,1.21110516109718,-0.389316621982296,-0.00564038724553709,2.80654588269935,5.56220137037147,0.143348750351948,15.7940869465768,-0.324240270193393,-68.1947225363553,12.9172606261823
GPC128500,Core,-0.281191121008014,-4.50430972538286,13.4262672837441,-0.882133561556857,-3.43184794491938,-0.540248635442667,-2.9829637980617,0.530683379509107,-0.405640387389722,-2.1600610114075,8.7317728393643,-0.0831469749297549,6.50562535565837,0.66541008082442,7.96027761142523,-2.35273941626029
GPC128800,Core,0.197130557386518,-4.15815586847412,-3.07039937307147,0.338379258636398,-1.03741044192816,-0.518881114829191,-1.85096380103645,0.145166137298638,-0.00564038745796019,-1.04897135666064,7.7123245329009,-0.412206803688223,-1.79052846793469,0.271528960945147,-44.8480557918189,19.1055939235282
GPC000030,Core,-1.88041887659184,-3.80798682368773,-2.59794021801076,-0.275048869551417,-8.9220032329457,0.977365467539545,0.0714338583696213,4.15971169965117,-0.8787276389099,-3.16682984822032,87.1263658678395,0.783431469847501,-12.6208709213463,2.89581346285957,307.612718948608,-31.7112637446776
GPC000040,Core,-1.53753914576468,-3.93452385796667,2.0778753735704,-0.581307229252679,-7.91670887517942,0.738625703527101,0.442729594261658,3.30404140570356,-0.781063475764055,-2.74272343868897,63.8082622264613,0.578643644795008,-13.183215248556,2.18335656962785,197.643895190334,-27.2508113398121
GPC000130,Core,-0.514759105271666,0.106530082164456,-0.24184101895528,-0.0561032533953489,-2.63778108200472,-0.0222411698702854,-1.21894140551831,0.798394812042772,-0.212230280423149,-0.822613161264113,23.5579067427721,0.0685044886795211,0.921419031356226,0.718962625962924,17.8548336520645,13.0845863307032
GPC000140,Core,-0.494325810191967,1.83674498537825,-0.865605592556846,0.0876163518738962,1.30045586635616,-0.273334301736562,-0.411811563146328,-0.489642495750379,-0.0467694926600819,0.544760459645384,-0.290477684057945,-0.374296564939854,13.3501544509557,-0.0961573151677063,-65.0104756092096,32.7496602791155
GPC000150,Core,-0.855916721156331,1.69379639023006,-2.34981758131502,-0.0919574783736948,-4.52137873309666,0.284949254902657,-0.420752346549781,1.75138166934833,-0.399275061481096,-1.45519736224519,40.31216776465,0.235356991522098,7.37296397286124,1.11999543021926,114.061833353372,-2.97003680339689
