Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC000030,-15978.018627333335,-63376347.10333333,-1.5521667556666665,-45.86668668,-3.1577166946666666,43.68936321333333,3.1010201176666663,-0.063401724,-1967.5844676666666,-487.4898897666667,-1149.3761620999999,-289.0354552333333,1.027179008
GPC000040,-15045.763655666668,-58378697.74,-2.093130461,-47.335649153333335,-3.665282978,55.12225381333334,4.294881627333334,-0.06997204633333333,-1705.0677364666667,-436.5191155333333,-1068.2294366,-273.43133217999997,-1.0789343446666666
GPC000130,-1346.4723329999997,-6414053.360000002,-1.6187773113333332,-1.3118921806666664,-0.2048415949999999,6.9495726096666655,0.259766413,-0.020088681,-705.2572992666667,-181.78669849666667,-432.6742365333333,-102.40063211666667,-2.8973646413333336
GPC000140,12321.648754,50133151.873333335,-0.7787656693333334,37.075386423333335,0.3144781893333333,-2.2986236643333333,-0.525419938,0.001209707666666667,105.21296320666667,24.387191326666667,18.83814942666666,-0.9137211566666679,-1.221703562
GPC000150,1175.8088461333334,5443647.261466665,-1.6263823903333332,-9.964589461333333,-1.5821581866666667,20.511245898333335,1.230564191,-0.03151046766666667,-930.3383138666667,-236.60311236666666,-582.2780237,-149.5420145,-1.0797802243333332
GPC000160,-21396.278599999998,-85142702.46333334,-1.4613434263333334,-51.73167824,-3.3594751003333334,51.19879249333333,3.3210593413333336,-0.06134504166666667,-2297.377959,-569.2608126333333,-1316.3886566333333,-329.9413188666667,0.6919862950000001
GPC000280,-12849.905072333333,-52415394.59900001,-1.2874310486666667,-43.321423906666666,-2.8130207346666665,39.62403621333333,2.606901081333333,-0.054468415666666666,-2063.1705036666667,-504.5869704666667,-1206.9663930666666,-299.02258603333337,0.27362259933333305
GPC000300,-7824.980550666667,-32193105.256666664,-2.084398706,-36.147714523333335,-3.1178003000000003,48.11818369,2.9448754983333334,-0.05253870966666666,-1859.27384,-450.96788753333334,-1122.4269559333334,-278.9248137,0.18415230933333354
GPC000360,-8235.120606333334,-33884350.626666665,-2.031085285,-34.694664313333334,-3.067082174,48.05837107666667,2.9324304116666666,-0.053306902333333336,-1909.947649,-463.57536163333333,-1152.1309095,-286.31583836666664,0.1706026130000001
GPC000390,-593.2362993333336,-3408219.2299999995,-1.7369685746666668,-0.13811194833333337,-0.13358910733333337,7.10943217,0.23948669433333333,-0.019515680333333334,-692.9499496000001,-178.62149752666667,-431.619943,-102.1177342,-3.0459639713333333
GPC000760,-24126.150298999997,-94874107.29,-1.6209082383333333,-49.32913729333334,-3.498060756,50.28892050666667,3.811548294666667,-0.08841649033333333,-3120.698845666667,-765.1713371666667,-1694.950547,-430.12577643333333,-0.3017121236666669
GPC000800,-711.8050136666667,-3636202.5993333324,-1.7959858536666666,-0.03493467300000101,-0.277167394,6.8620234553333335,0.230451506,-0.016327296666666668,-499.70324163333333,-128.88458848666667,-313.124141,-74.19416106666667,-2.6039206113333333
GPC000830,2828.1060556666666,9598804.148199998,-3.3571442973333334,34.094325917333336,-0.32556972,-2.5657287963333335,-0.430242081,-0.017083566333333335,-413.1100032333333,-102.55574184866667,-294.86216253333333,-67.88579798,-3.0384110136666664
GPC000850,1351.1009569999992,3878345.4766666642,-0.6359220186666666,1.7996690016666665,0.097247269,1.3303189206666668,-0.14988842533333335,-0.019873977333333334,-699.4459309333333,-180.18205853333333,-502.9283458,-117.41476207666668,-1.9280062816666668
GPC000870,-347.52825633333305,-1989860.309333337,-1.9094732666666667,0.2510396066666658,-0.33921295333333334,7.768983470666667,0.2781228196666667,-0.015719980333333335,-493.69207446666667,-127.82248630666666,-314.0572725,-75.00086209,-2.594935009
GPC001000,5651.77757,23914312.155333333,-2.3242593906666666,20.288210654666667,-0.567649415,0.7358796900000002,-0.126250231,-0.005447420333333334,10.382818556666669,0.15670642933333312,-18.785771863333334,-10.739464997,-2.2491717023333333
GPC001050,3399.7096829,14345428.617333334,-3.8755814733333334,32.298499056333334,-1.0413914466666667,-3.129588967,-0.335498586,-0.010077405,-171.10692586333334,-50.889814613333336,-124.85045280666667,-35.238446546666665,-3.4073892783333335
GPC001070,287.8119489999996,1698100.5600000012,-2.6560200713333333,18.352602779999998,-1.164129606,9.382787306,0.348323573,-0.02551888966666667,-389.51339137,-105.28655557333333,-327.3921627,-85.83600235666667,-2.155233231
GPC001080,5901.3312006666665,23058240.034,-2.1429375016666663,28.749288109666665,0.07241884966666666,-0.281684748333333,-0.397500711,-0.008769441666666666,39.594402603333336,8.65030054,-68.35213776333333,-14.840200406666666,-2.1929241173333334
GPC001150,8067.918960333333,30097772.639333334,-2.682683653333333,68.51774448,0.16545397166666664,-6.1474410079999995,-0.7923620916666667,-0.002848545000000001,90.49239971666668,25.564126479000002,-79.99806463333333,-13.932821873333335,-2.381772460333333
GPC001220,5096.603201,19727549.618,-2.0725188963333334,29.750641714333334,0.14723398766666668,-0.6127285489999998,-0.42858460866666664,-0.011116947666666667,-77.356050878,-17.929425823333332,-126.13994119,-29.403195331666666,-2.3353162456666667
GPC001360,-16961.79697,-66042821.76376666,-4.675352683333333,65.55730856,-2.566394088,-1.111079495,0.005992740000000005,-0.07563871233333333,318.9989295666668,69.50199546666666,-50.03388108333327,-18.876887733333337,1.06439898
GPC001460,-18388.939196666666,-71751375.46,-5.737574902333333,-35.362093843333334,-3.885282977666667,5.7666983043333335,1.4615482963333333,-0.03841649033333333,-3119.532178666667,-790.1213372,-1672.6149914,-424.53355416666665,-3.476712121666667
GPC001490,-19735.264766666667,-79544322.96666667,-1.8961793536666667,-49.54970638333334,-3.5349205166666664,58.181741746666674,3.579508012,-0.058193363000000005,-2105.1865953333336,-513.2292131333334,-1214.5176366666667,-301.95325993333336,0.7990433083333333
GPC001740,-466.7575453333329,-3160145.086666666,-1.8323113633333332,-1.3880182866666657,-0.20407635666666663,6.5873497709999995,0.23806020333333333,-0.019491814333333333,-682.3589830999999,-175.04745189666667,-422.41270223333333,-98.77649815333334,-3.0596450226666665
GPC001800,-376.5855900000006,-2763648.4366666675,-1.7374294703333333,-0.6186899203333323,-0.15090748166666668,6.730383804666666,0.22730895833333334,-0.019053215999999998,-668.3875198000001,-172.30515488,-418.35901856666663,-97.67640057333332,-3.0378386033333333
GPC001870,-233.78496599999988,-2119646.833333333,-1.6913912873333332,-0.547335265000001,-0.10255180266666661,6.746177110333333,0.222614849,-0.018951294,-680.0888941000001,-175.34481973666666,-421.21012443333336,-98.68130115,-3.0302726179999997
